"TEMPERATURE1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,0,0,0,0
0.96239,1,0.6,0,0,0.6
0.92485,1,1.2,0,0,1.2
0.88747,1,1.8,0,0,1.8
0.8504,1,2.4,0,0,2.4
0.81348,1,3,0,0,3
0.77724,1,3.6,0,0,3.6
0.7413,1,4.2,0,0,4.2
0.70595,1,4.8,0,0,4.8
0.67132,1,5.4,0,0,5.4
0.63705,1,6,0,0,6
0.60402,1,6.6,0,0,6.6
0.57147,1,7.2,0,0,7.2
0.53985,1,7.8,0,0,7.8
0.50925,1,8.4,0,0,8.4
0.47916,1,9,0,0,9
0.4507,1,9.6,0,0,9.6
0.42282,1,10.2,0,0,10.2
0.39607,1,10.8,0,0,10.8
0.37049,1,11.4,0,0,11.4
0.3455,1,12,0,0,12
0.32231,1,12.6,0,0,12.6
0.2997,1,13.2,0,0,13.2
0.2783,1,13.8,0,0,13.8
0.25808,1,14.4,0,0,14.4
0.23845,1,15,0,0,15
0.22056,1,15.6,0,0,15.6
0.20323,1,16.2,0,0,16.2
0.18702,1,16.8,0,0,16.8
0.17189,1,17.4,0,0,17.4
0.1573,1,18,0,0,18
0.14424,1,18.6,0,0,18.6
0.13167,1,19.2,0,0,19.2
0.12006,1,19.8,0,0,19.8
0.10935,1,20.4,0,0,20.4
0.099086,1,21,0,0,21
0.09007,1,21.6,0,0,21.6
0.081435,1,22.2,0,0,22.2
0.073562,1,22.8,0,0,22.8
0.066382,1,23.4,0,0,23.4
0.059549,1,24,0,0,24
0.053655,1,24.6,0,0,24.6
0.048041,1,25.2,0,0,25.2
0.042987,1,25.8,0,0,25.8
0.03843,1,26.4,0,0,26.4
0.034123,1,27,0,0,27
0.030474,1,27.6,0,0,27.6
0.027017,1,28.2,0,0,28.2
0.023945,1,28.8,0,0,28.8
0.021206,1,29.4,0,0,29.4
0.018635,1,30,0,0,30
0.016495,1,30.6,0,0,30.6
0.014479,1,31.2,0,0,31.2
0.01271,1,31.8,0,0,31.8
0.01115,1,32.4,0,0,32.4
0.0096953,1,33,0,0,33
0.0085065,1,33.6,0,0,33.6
0.0073921,1,34.2,0,0,34.2
0.0064264,1,34.8,0,0,34.8
0.0055846,1,35.4,0,0,35.4
0.0048047,1,36,0,0,36
0.0041787,1,36.6,0,0,36.6
0.0035947,1,37.2,0,0,37.2
0.0030951,1,37.8,0,0,37.8
0.0026643,1,38.4,0,0,38.4
0.0022678,1,39,0,0,39
0.0019552,1,39.6,0,0,39.6
0.001665,1,40.2,0,0,40.2
0.0014198,1,40.8,0,0,40.8
0.0012106,1,41.4,0,0,41.4
0.0010195,1,42,0,0,42
0.00087136,1,42.6,0,0,42.6
0.00073454,1,43.2,0,0,43.2
0.00062038,1,43.8,0,0,43.8
0.00052402,1,44.4,0,0,44.4
0.00043656,1,45,0,0,45
0.00036994,1,45.6,0,0,45.6
0.0003087,1,46.2,0,0,46.2
0.00025825,1,46.8,0,0,46.8
0.0002161,1,47.4,0,0,47.4
0.00017811,1,48,0,0,48
0.00014966,1,48.6,0,0,48.6
0.00012365,1,49.2,0,0,49.2
0.00010247,1,49.8,0,0,49.8
8.4975e-05,1,50.4,0,0,50.4
6.9311e-05,1,51,0,0,51
5.7794e-05,1,51.6,0,0,51.6
4.7313e-05,1,52.2,0,0,52.2
3.8903e-05,1,52.8,0,0,52.8
3.2039e-05,1,53.4,0,0,53.4
2.5948e-05,1,54,0,0,54
2.1584e-05,1,54.6,0,0,54.6
1.7649e-05,1,55.2,0,0,55.2
1.4574e-05,1,55.8,0,0,55.8
1.2146e-05,1,56.4,0,0,56.4
1.0041e-05,1,57,0,0,57
8.6827e-06,1,57.6,0,0,57.6
7.524e-06,1,58.2,0,0,58.2
6.7648e-06,1,58.8,0,0,58.8
6.349e-06,1,59.4,0,0,59.4
6.1049e-06,1,60,0,0,60
