"heat_flux_x","temperature","MaterialIDs","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,1,0,0,0,0
0,0.96235,0,1,0.6,0,0,0.6
0,0.92478,0,1,1.2,0,0,1.2
0,0.88736,0,1,1.8,0,0,1.8
0,0.85025,0,1,2.4,0,0,2.4
0,0.81329,0,1,3,0,0,3
0,0.77702,0,1,3.6,0,0,3.6
0,0.74104,0,1,4.2,0,0,4.2
0,0.70566,0,1,4.8,0,0,4.8
0,0.671,0,1,5.4,0,0,5.4
0,0.6367,0,1,6,0,0,6
0,0.60365,0,1,6.6,0,0,6.6
0,0.57107,0,1,7.2,0,0,7.2
0,0.53943,0,1,7.8,0,0,7.8
0,0.50882,0,1,8.4,0,0,8.4
0,0.47871,0,1,9,0,0,9
0,0.45024,0,1,9.6,0,0,9.6
0,0.42234,0,1,10.2,0,0,10.2
0,0.39558,0,1,10.8,0,0,10.8
0,0.37,0,1,11.4,0,0,11.4
0,0.34501,0,1,12,0,0,12
0,0.32181,0,1,12.6,0,0,12.6
0,0.29921,0,1,13.2,0,0,13.2
0,0.2778,0,1,13.8,0,0,13.8
0,0.25759,0,1,14.4,0,0,14.4
0,0.23796,0,1,15,0,0,15
0,0.22008,0,1,15.6,0,0,15.6
0,0.20276,0,1,16.2,0,0,16.2
0,0.18657,0,1,16.8,0,0,16.8
0,0.17145,0,1,17.4,0,0,17.4
0,0.15687,0,1,18,0,0,18
0,0.14383,0,1,18.6,0,0,18.6
0,0.13127,0,1,19.2,0,0,19.2
0,0.11968,0,1,19.8,0,0,19.8
0,0.10899,0,1,20.4,0,0,20.4
0,0.098739,0,1,21,0,0,21
0,0.089741,0,1,21.6,0,0,21.6
0,0.081123,0,1,22.2,0,0,22.2
0,0.073267,0,1,22.8,0,0,22.8
0,0.066105,0,1,23.4,0,0,23.4
0,0.059289,0,1,24,0,0,24
0,0.053411,0,1,24.6,0,0,24.6
0,0.047813,0,1,25.2,0,0,25.2
0,0.042774,0,1,25.8,0,0,25.8
0,0.038233,0,1,26.4,0,0,26.4
0,0.03394,0,1,27,0,0,27
0,0.030305,0,1,27.6,0,0,27.6
0,0.026862,0,1,28.2,0,0,28.2
0,0.023802,0,1,28.8,0,0,28.8
0,0.021075,0,1,29.4,0,0,29.4
0,0.018515,0,1,30,0,0,30
0,0.016386,0,1,30.6,0,0,30.6
0,0.01438,0,1,31.2,0,0,31.2
0,0.012619,0,1,31.8,0,0,31.8
0,0.011068,0,1,32.4,0,0,32.4
0,0.0096217,0,1,33,0,0,33
0,0.0084401,0,1,33.6,0,0,33.6
0,0.0073325,0,1,34.2,0,0,34.2
0,0.006373,0,1,34.8,0,0,34.8
0,0.0055368,0,1,35.4,0,0,35.4
0,0.0047622,0,1,36,0,0,36
0,0.0041407,0,1,36.6,0,0,36.6
0,0.0035611,0,1,37.2,0,0,37.2
0,0.0030653,0,1,37.8,0,0,37.8
0,0.0026379,0,1,38.4,0,0,38.4
0,0.0022447,0,1,39,0,0,39
0,0.0019347,0,1,39.6,0,0,39.6
0,0.0016471,0,1,40.2,0,0,40.2
0,0.0014042,0,1,40.8,0,0,40.8
0,0.001197,0,1,41.4,0,0,41.4
0,0.0010077,0,1,42,0,0,42
0,0.000861,0,1,42.6,0,0,42.6
0,0.00072558,0,1,43.2,0,0,43.2
0,0.00061263,0,1,43.8,0,0,43.8
0,0.00051732,0,1,44.4,0,0,44.4
0,0.00043082,0,1,45,0,0,45
0,0.00036498,0,1,45.6,0,0,45.6
0,0.00030446,0,1,46.2,0,0,46.2
0,0.00025462,0,1,46.8,0,0,46.8
0,0.000213,0,1,47.4,0,0,47.4
0,0.00017549,0,1,48,0,0,48
0,0.00014742,0,1,48.6,0,0,48.6
0,0.00012175,0,1,49.2,0,0,49.2
0,0.00010087,0,1,49.8,0,0,49.8
0,8.3613e-05,0,1,50.4,0,0,50.4
0,6.8174e-05,0,1,51,0,0,51
0,5.6828e-05,0,1,51.6,0,0,51.6
0,4.6505e-05,0,1,52.2,0,0,52.2
0,3.8225e-05,0,1,52.8,0,0,52.8
0,3.1469e-05,0,1,53.4,0,0,53.4
0,2.5475e-05,0,1,54,0,0,54
0,2.1183e-05,0,1,54.6,0,0,54.6
0,1.7314e-05,0,1,55.2,0,0,55.2
0,1.4291e-05,0,1,55.8,0,0,55.8
0,1.1905e-05,0,1,56.4,0,0,56.4
0,9.8371e-06,0,1,57,0,0,57
0,8.503e-06,0,1,57.6,0,0,57.6
0,7.3652e-06,0,1,58.2,0,0,58.2
0,6.6196e-06,0,1,58.8,0,0,58.8
0,6.2114e-06,0,1,59.4,0,0,59.4
0,5.9718e-06,0,1,60,0,0,60
